Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market buy,2022-01-25 08:07:54,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",0.1103120000,54.39,EUR,1.00000,,"EUR",6.00,"EUR",,,,,,,,EOF1763230702,,
Market buy,2022-01-25 08:07:54,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",0.0957070000,62.69,EUR,1.00000,,"EUR",6.00,"EUR",,,,,,,,EOF1763230695,,
Deposit,2022-01-28 12:26:35,,,,,,,,,,0.02,"EUR",,,,,,,"Brookfield Renewable Partners (BEP) Dividend Withholding Tax Correction ex-date 29.11.2021",a2ea9f9d-b971-4d3e-99f0-2ea770759082,,
Market buy,2022-01-31 15:13:59,US60770K1079,MRNA,"Moderna",0.2000000000,162.59,USD,1.11899,,"EUR",29.10,"EUR",,,,,,,,EOF1773473839,0.04,"EUR"
Market buy,2022-01-31 15:16:41,CA87971M1032,TU,"TELUS",2.0000000000,23.43,USD,1.11917,,"EUR",41.93,"EUR",,,,,,,,EOF1773475486,0.06,"EUR"
Market buy,2022-01-31 15:17:06,US83406F1021,SOFI,"SoFi Technologies",1.7000000000,12.17,USD,1.11953,,"EUR",18.51,"EUR",,,,,,,,EOF1773475646,0.03,"EUR"
Market buy,2022-01-31 16:03:32,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",0.5000000000,3.84,EUR,1.00000,,"EUR",1.92,"EUR",,,,,,,,EOF1773496780,,
Market sell,2022-02-02 16:42:49,US69608A1088,PLTR,"Palantir",4.0000000000,13.24,USD,1.12993,-15.98,"EUR",46.80,"EUR",,,,,,,,EOF1777418447,0.07,"EUR"
Market buy,2022-02-02 16:55:59,US0126531013,ALB,"Albemarle",0.2200000000,223.15,USD,1.12961,,"EUR",43.53,"EUR",,,,,,,,EOF1777419650,0.07,"EUR"
Market buy,2022-02-02 20:31:02,US34959E1091,FTNT,"Fortinet",0.0120000000,309.51,USD,1.13235,,"EUR",3.28,"EUR",,,,,,,,EOF1777434492,,
Market sell,2022-02-03 10:03:23,IE00BD09ZW40,NFL2,"Leverage Shares 2x Netflix",3.5000000000,40.82,USD,1.12842,6.07,"EUR",126.42,"EUR",,,,,,,,EOF1777450381,0.19,"EUR"
Market buy,2022-02-03 14:23:11,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",3.0000000000,16.54,EUR,1.00000,,"EUR",49.62,"EUR",,,,,,,,EOF1778409669,,
Limit buy,2022-02-03 14:27:34,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",4.0000000000,14.93,EUR,1.00000,,"EUR",59.72,"EUR",,,,,,,,EOF1778409880,,
Withdrawal,2022-02-03 15:56:52,,,,,,,,,,-17.31,"EUR",,,,,,,,fad788d2-bf66-439b-83d8-b3786605bc0d,,
Market sell,2022-02-07 14:41:38,US26853E1029,EH,"EHang",4.2000000000,16.80,USD,1.14304,-0.75,"EUR",61.64,"EUR",,,,,,,,EOF1782394593,0.09,"EUR"
Deposit,2022-02-08 07:51:57,,,,,,,,,,500.00,"EUR",,,,,,,"Bank Transfer",5e2e0d0f-805e-4442-a469-0005e168eb2f,,
Market sell,2022-02-09 15:21:49,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",2.0000000000,76.72,EUR,1.00000,-31.87,"EUR",153.44,"EUR",,,,,,,,EOF1786107928,,
Market sell,2022-02-09 15:24:55,US87918A1051,TDOC,"Teladoc Health",2.0000000000,74.73,USD,1.14379,-30.66,"EUR",130.47,"EUR",,,,,,,,EOF1786108274,0.20,"EUR"
Market buy,2022-02-09 15:31:16,US5533681012,MP,"MP Materials",0.6083950000,39.90,USD,1.14396,,"EUR",21.25,"EUR",,,,,,,,EOF1786108882,0.03,"EUR"
Market buy,2022-02-09 15:31:16,US60770K1079,MRNA,"Moderna",0.0319681000,157.81,USD,1.14396,,"EUR",4.42,"EUR",,,,,,,,EOF1786108885,0.01,"EUR"
Market buy,2022-02-09 15:31:16,US09075V1026,BNTX,"BioNTech",0.0622688000,167.18,USD,1.14396,,"EUR",9.11,"EUR",,,,,,,,EOF1786108878,0.01,"EUR"
Market buy,2022-02-09 15:31:16,US34959E1091,FTNT,"Fortinet",0.1014523000,322.04,USD,1.14396,,"EUR",28.60,"EUR",,,,,,,,EOF1786108875,0.04,"EUR"
Market buy,2022-02-09 15:31:17,XS2820605314,MSF2,"Leverage Shares 2x Microsoft",0.1234735000,174.55,USD,1.14396,,"EUR",18.87,"EUR",,,,,,,,EOF1786108889,0.03,"EUR"
Market buy,2022-02-09 15:31:18,IE00BF01VY89,GOOE,"Leverage Shares 2x Alphabet",0.5544460000,80.26,EUR,1.00000,,"EUR",44.50,"EUR",,,,,,,,EOF1786108892,,
Market buy,2022-02-09 15:31:23,NL0000235190,AIR,"Airbus",0.4574441000,117.26,EUR,1.00000,,"EUR",53.64,"EUR",,,,,,,,EOF1786108914,,
Market buy,2022-02-09 15:32:15,US6549022043,NOK,"Nokia",3.8760100000,5.77,USD,1.14396,,"EUR",19.58,"EUR",,,,,,,,EOF1786109039,0.03,"EUR"
Stop limit buy,2022-02-09 15:38:54,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",10.0000000000,12.04,EUR,1.00000,,"EUR",120.40,"EUR",,,,,,,,EOF1786110034,,
Market buy,2022-02-09 16:20:26,XS2819844387,3OIS,"WisdomTree WTI Crude Oil 3x Short",30.0000000000,3.70,USD,1.14338,,"EUR",97.23,"EUR",,,,,,,,EOF1786116542,0.15,"EUR"
Market buy,2022-02-10 09:22:42,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",6.0000000000,12.77,EUR,1.00000,,"EUR",76.59,"EUR",,,,,,,,EOF1786149474,,
Market buy,2022-02-11 15:05:15,US90214J2006,TWOUQ,"2U",15.0000000000,9.61,USD,1.13844,,"EUR",126.81,"EUR",,,,,,,,EOF1789104455,0.19,"EUR"
Dividend (Ordinary),2022-02-16 14:40:52,CA7063271034,PBA,"Pembina Pipeline",0.7549700000,0.14,USD,Not available,,,0.09,"EUR",0.02,USD,,,,,,,,
Market buy,2022-02-18 09:44:19,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",10.0000000000,10.52,EUR,1.00000,,"EUR",105.15,"EUR",,,,,,,,EOF1795973210,,
